userName;score;content
Pengguna Google;5;mantap
Pengguna Google;1;tolong dong driver ya di bimbing banyak pake knalpot brong saya sebagai penumpang merasa terganggu
Pengguna Google;5;mantap
Pengguna Google;5;mantabs
Pengguna Google;5;sudut pandang kadang mengadakan demo juga di salah gunakan
Pengguna Google;5;bgus
Pengguna Google;5;memudahkn sglnya
Pengguna Google;5;layan apapun cepat aman
Pengguna Google;5;limit saya kenapa jadi berkurang awalnya 3juta trus turun jadi 300ratus setelah itu jadi 1 perak , saya kan selalu bayar tepat waktu.. bahkan belom jatoh temponya sudah bayar
Pengguna Google;5;sangat memuaskan
Pengguna Google;5;ok
Pengguna Google;3;saya mau pesan makanan di Grabfood kenapa layarnya jadi ngebleng putih gitu yahh, gak langsung ke buka menu restorannya ... tolong kasih solusi padahal aplikasi Grab udah saya instal ulang masih sama
Pengguna Google;5;Alhamdulillah aplikasi misah digunakan dan respon supir baik, kendaraan nyaman.
Pengguna Google;5;mantap
Pengguna Google;5;siiip
Pengguna Google;4;sangat membantu
Pengguna Google;2;pesanan selalu lama dari waktu estimasi
Pengguna Google;5;mantapp..kurir nya ramah dan pesanan cepat smpai sehat sllu pak kurir
Pengguna Google;5;thanks you,
Pengguna Google;5;ok ok ok
Pengguna Google;5;baik
Pengguna Google;5;pesanan tepat waktu
Pengguna Google;1;grabcar selalu cancel saat urgent ke RS padahal udah beberapa meter lagi malah minta cancel ataupun minta dicancel.. keterlaluan bgt driver grabcar kbanyakan juga bawa mobil asal asalan aja
Pengguna Google;5;sangat membantu
Pengguna Google;5;terpecaya
Pengguna Google;5;makanan nya enak.. Good jomb mantapp harganya juga murah
Pengguna Google;5;mudah
Pengguna Google;5;memudahkan perjalanan
Pengguna Google;5;bagus banget amanah,banyakin promonya ya
Pengguna Google;5;sangat membantu
Pengguna Google;5;muantapp
Pengguna Google;5;sangat bagus
Pengguna Google;5;orang baik
Pengguna Google;5;layanan sigap ...mantulll
Pengguna Google;1;jgn beli makan disini yg ada mlh lama makanan udah gak fres Krn lambannya pengiriman
Pengguna Google;5;mudah diakses bagus
Pengguna Google;1;iklan nyaaaaaaa... tolongggggggggggggg, setiap main game selalu nemu iklan ini, dan tombol x nya ga bisa di pencetttttttt, gregettttttttt anj
Pengguna Google;5;sangat membantu dalam segala keperluan
Pengguna Google;1;ngak usah deh ada kerjasama sama indomaret tentang pengantaran, kalau karyawan kalian sendiri ngak mau ngantar, saya pesan pengantaran grab express sejam harus sudah sampai ini malah telat sekali lebih dari 3 jam.
Pengguna Google;1;di undur terus waktunya sampai gk aku jadiin belinya☹️
Pengguna Google;5;oke
Pengguna Google;5;👍
Pengguna Google;5;Memudahkan
Pengguna Google;5;perjlnan cpt dan nyaman tepat waktu
Pengguna Google;1;ini kenapa grab saya jadi loading lemot parah dan ovo paylater saya juga ngga bisa dibayar karna loading terus, pas mau bayar gabisa terkoneksi antara grab ke ovonya. gimana ini? limit saya dari 6 jt juga turun ke 3jt. dari kemarin begini terus. siapa yang mau tanggung jawab kalau begini terus kondisinya sampai tanggal 30 saya bakal kena bunga 0.2persen per hari. tolong diperbaiki segera
Pengguna Google;5;mantap
Pengguna Google;5;ok
Pengguna Google;1;ni aplikasi ngelag banget co buang buang waktu kalo nunggu yang ada gua kesiangan ke tempat kerja
Pengguna Google;5;trimakasih
Pengguna Google;5;kenapa limit paylater saya hilang? tolong kembali kan limit saya lagi.
Pengguna Google;1;so bad
Pengguna Google;1;Aku sering kali ngalami ini, pesanan dibatalkan, baik itu perjalanan maupun makanan tapi karena pembayaran menggunakan Kartu Debit, jadi saldo saya terpotong otomatis dan ketika pesanan saya batal, saldo saya tidak pernah dibalikin dan itu sudah terjadi beberapa kali, aplikasi yang sangat merugikan
