MBl,BEl,VEp,REs,OGp,RMl,BLs,PFv,PFs,CPt,Family
11.3,2.296979104,0.561043488,0.404950253,0.351806972,0.245092898,0.649712137,0.387303086,0.322160293,1.157828402,Cichlidae
13.0,2.35116865,0.590280571,0.308905072,0.354184902,0.351347898,0.694359017,0.414373921,0.182313952,1.228863931,Cichlidae
13.4,2.177637838,0.630306825,0.321555505,0.390782375,0.231632825,0.619964769,0.401241047,0.377602904,1.418002817,Cichlidae
12.5,2.076915859,0.535078109,0.226885245,0.374863387,0.226295724,0.676996209,0.344478702,0.240473379,1.923209881,Cichlidae
20.0,2.197228575,0.588330943,0.358346685,0.36910965,0.231563686,0.630421938,0.364745281,0.292056229,1.408135785,Cichlidae
14.3,2.347077153,0.591414683,0.368105706,0.417798828,0.232985459,0.6606955,0.389116291,0.322959438,2.08644937,Cichlidae
10.0,2.430110683,0.627615085,0.378013941,0.412800813,0.298982973,0.687914011,0.406302407,0.300297172,1.431355502,Cichlidae
12.0,2.547522197,0.576599144,0.346704201,0.467285508,0.396337586,0.625809888,0.315872338,0.212717857,2.08067047,Cichlidae
10.3,2.144744803,0.57804231,0.323886899,0.427998546,0.268756051,0.641670018,0.388230351,0.312449137,1.471018584,Cichlidae
10.0,2.373659281,0.633197192,0.345580888,0.466877673,0.31766055,0.652825238,0.412819011,0.252504466,2.224993244,Cichlidae
10.0,2.162231694,0.568994646,0.244776398,0.415184576,0.362236025,0.590026716,0.372266545,0.279648004,1.994117032,Cichlidae
25.0,2.345990085,0.582143773,0.343891032,0.419926944,0.361990051,0.647077775,0.40774665,0.328955609,2.369503664,Cichlidae
12.0,2.20284737,0.53511967,0.309007195,0.295458145,0.317111396,0.65005965,0.382309779,0.303115482,1.130660842,Cichlidae
16.5,2.146675825,0.578765676,0.322309472,0.352778169,0.270182867,0.657196703,0.40569372,0.336353617,1.724166198,Cichlidae
5.0,2.592889455,0.64350769,0.526562137,0.556284556,0.452195122,0.577019737,0.456509064,0.198103893,1.227862278,Nandidae
11.0,5.034388522,0.568012493,0.316546418,0.364446758,0.950996041,0.679398336,0.690861177,0.190312477,2.978753165,Gobiidae
15.0,2.950207394,0.402126465,0.219512195,0.202865475,0.28204599799999996,0.418547701,0.074009672,0.233778656,1.948984158,Doradidae
15.0,3.562309278,0.474226804,0.255561352,0.288706186,0.34842432719999994,0.385345361,0.12371134,0.251409372,3.131700672,Doradidae
64.8,4.843402617,0.441368551,0.239799389,0.554374794,0.882506301,0.546075194,0.384341556,0.191017425,2.928035757,Auchenipteridae
18.1,3.821209497,0.539742352,0.269947779,0.609276775,0.545296181,0.417229716,0.447029237,0.146024605,2.66539169,Auchenipteridae
18.5,4.354011153,0.256268113,0.375266608,0.440359621,0.527482634,0.561001581,0.102463335,0.177009982,3.047294519,Auchenipteridae
30.0,5.43419225,0.529326972,0.291995257,0.664857782,0.653402648,0.469391895,0.390087954,0.161694238,2.650506471,Auchenipteridae
46.2,4.576814407,0.52386146,0.23233044,0.566878215,1.060074523,0.433293543,0.585393712,0.122764749,3.023361036,Auchenipteridae
45.0,4.572352827,0.415623676,0.34375,0.67414032,0.880509458,0.513368984,0.295617721,0.151215004,3.025884099,Auchenipteridae
